ART_CINV,PIVOT_DATE,MVT_DATE,ISO_YEAR,ISO_WEEK,FORECAST,ACTUAL_DEMAND,MOVING_AVG,DC_CODE,PROMO_TYPE,HOLIDAYS_TYPE,NM1,NM2,NM3,ARTICLE_TYPE
123456,20250616,20251027,2025,44,4520,0,4081,204,,,5388,3918,4182,5
123456,20250616,20251020,2025,43,4799,0,4299,204,,October Bank Holiday,5383,4786,4643,5
123456,20250616,20251013,2025,42,3647,0,3647,204,,,4364,3737,4094,5
123456,20250616,20251006,2025,41,4662,0,3985,204,,,4794,4328,4034,5
123456,20250616,20250929,2025,40,5227,0,4147,204,,,4776,4882,4087,5
123456,20250616,20250922,2025,39,5124,0,4068,204,,,4718,4542,4323,5
123456,20250616,20250915,2025,38,4756,0,4756,204,,,7195,4479,4854,5
123456,20250616,20250908,2025,37,5440,0,5440,204,,,6334,6467,5280,5
123456,20250616,20250901,2025,36,5710,0,5710,204,,,7887,11598,4912,5
123456,20250616,20250825,2025,35,7306,0,6419,204,,,7315,5486,9235,5
123456,20250616,20250818,2025,34,8135,0,6499,204,,,7051,7197,9336,5
123456,20250616,20250811,2025,33,8677,0,6989,204,,,8838,7300,9190,5
123456,20250616,20250804,2025,32,8547,0,6892,204,,August Bank Holiday,8055,6608,18949,5
123456,20250616,20250728,2025,31,8827,0,7190,204,,August Bank Holiday,11135,7343,8559,5
123456,20250616,20250721,2025,30,8863,0,7318,204,,,8055,5826,6825,5
123456,20250616,20250714,2025,29,8560,0,7464,204,,,8355,5687,11621,5
123456,20250616,20250707,2025,28,8290,0,7182,204,,,7690,7519,17764,5
123456,20250616,20250630,2025,27,8193,9092,6988,204,,,6445,6173,9112,5
123456,20250616,20250623,2025,26,8534,9321,6775,204,,,8483,7565,5798,5
123456,20250616,20250616,2025,25,8501,13086,7149,204,,,8486,8304,6659,5
123456,20250616,20250609,2025,24,7818,6072,8733,204,,,5083,9165,7552,5
123456,20250616,20250602,2025,23,8565,6971,9568,204,,,6538,13629,5164,5
123456,20250616,20250526,2025,22,9889,6495,11715,204,,June Bank Holiday,10003,17890,9472,5
123456,20250616,20250519,2025,21,10132,11332,11648,204,,,7225,11382,7768,5
123456,20250616,20250512,2025,20,11733,15154,8511,204,,,10937,9268,6246,5
123456,20250616,20250505,2025,19,9846,10262,6962,204,,,10690,8516,7567,5
123456,20250616,20250428,2025,18,8879,9960,6220,204,,May Bank Holiday,6258,6452,5405,5
123456,20250616,20250421,2025,17,5420,5124,6847,204,,Easter Day,6450,5126,5029,5
123456,20250616,20250414,2025,16,6427,6566,6962,204,,Easter,5197,5154,4816,5
123456,20250616,20250407,2025,15,7674,8586,5562,204,,,4278,4625,6209,5
123456,20250616,20250331,2025,14,6165,6571,4870,204,,,4278,6495,3745,5
123456,20250616,20250324,2025,13,5068,5071,4829,204,,,6100,4210,4001,5
123456,20250616,20250317,2025,12,4967,4635,4645,204,,,4240,3838,4361,5
123456,20250616,20250310,2025,11,5979,6792,4534,204,,St. Patrick's,5398,5234,6308,5
123456,20250616,20250303,2025,10,4614,4615,4602,204,,Pancake Tuesday,3875,3551,4472,5
123456,20250616,20250224,2025,9,4594,4645,4645,204,,Pancake Tuesday,3994,3682,3844,5
123456,20250616,20250217,2025,8,4211,4283,4679,204,,,4029,4092,3648,5
123456,20250616,20250210,2025,7,4357,4359,4835,204,,Valentines,3863,3488,3621,5
123456,20250616,20250203,2025,6,4867,5244,4447,204,,,3833,3576,3518,5
123456,20250616,20250127,2025,5,5133,5904,3650,204,,,4175,3926,3929,5
123456,20250616,20250120,2025,4,4020,3473,3964,204,,,3246,2844,3877,5
123456,20250616,20250113,2025,3,3315,3186,4641,204,,,2723,2504,3322,5
123456,20250616,20250106,2025,2,3312,2959,4641,204,,Major Storm,2542,2431,3074,5
123456,20250616,20241230,2024,1,5835,5647,4641,204,,New Year's,3010,3128,4666,5
123456,20250616,20241223,2024,52,6932,8168,4641,204,,Christmas Christmas Day,10874,8979,10554,5
123456,20250616,20241216,2024,51,14628,16392,4641,204,,Christmas,13795,9877,12970,5
123456,20250616,20241209,2024,50,6306,6281,4641,204,,Christmas,6349,7567,9630,5
123456,20250616,20241202,2024,49,4669,4723,4591,204,,,4472,4424,4551,5
123456,20250616,20241125,2024,48,4780,4625,4661,204,,,4255,4047,4243,5
123456,20250616,20241118,2024,47,4254,4371,4763,204,,,3604,3953,4557,5
123456,20250616,20241111,2024,46,4583,4691,4861,204,,,3732,3785,4161,5
123456,20250616,20241104,2024,45,4489,4756,4951,204,,,3513,3254,3711,5
123456,20250616,20241028,2024,44,5240,5388,4586,204,,,3918,4182,4037,5
123456,20250616,20241021,2024,43,5047,5383,4586,204,,October Bank Holiday,4786,4643,4807,5
123456,20250616,20241014,2024,42,4474,4364,5138,204,,,3737,4094,5167,5
123456,20250616,20241007,2024,41,4586,4794,5358,204,,,4328,4034,4548,5
123456,20250616,20240930,2024,40,4714,4776,6055,204,,,4882,4087,4620,5
123456,20250616,20240923,2024,39,4790,4718,7101,204,,,4542,4323,5294,5
123456,20250616,20240916,2024,38,6398,7195,6977,204,,,4479,4854,5873,5
123456,20250616,20240909,2024,37,6067,6334,7761,204,,,6467,5280,5692,5
123456,20250616,20240902,2024,36,7186,7887,7589,204,,,11598,4912,5656,5
123456,20250616,20240826,2024,35,6705,7315,7844,204,,,5486,9235,5886,5
123456,20250616,20240819,2024,34,6853,7051,8398,204,,,7197,9336,14039,5
123456,20250616,20240812,2024,33,9325,8838,7834,204,,,7300,9190,7507,5
123456,20250616,20240805,2024,32,9454,8055,7834,204,,August Bank Holiday,6608,18949,7836,5
123456,20250616,20240729,2024,31,11171,11135,7834,204,,August Bank Holiday,7343,8559,10998,5
123456,20250616,20240722,2024,30,8962,8055,7921,204,,,5826,6825,19861,5
123456,20250616,20240715,2024,29,8647,8355,7617,204,,,5687,11621,35386,5
123456,20250616,20240708,2024,28,8614,7690,7056,204,,,7519,17764,17895,5
123456,20250616,20240701,2024,27,8307,6445,7682,204,,,6173,9112,7604,5
123456,20250616,20240624,2024,26,9295,8483,7154,204,,,7565,5798,9781,5
123456,20250616,20240617,2024,25,8935,8486,6506,204,,,8304,6659,9074,5
123456,20250616,20240610,2024,24,6333,5083,7992,204,,,9165,7552,7966,5
123456,20250616,20240603,2024,23,7295,6538,8556,204,,,13629,5164,11511,5
123456,20250616,20240527,2024,22,9725,10003,8528,204,,June Bank Holiday,17890,9472,15455,5
123456,20250616,20240520,2024,21,7964,7225,9341,204,,,11382,7768,9703,5
